POSITION_TITLE,RESUME_NUMBER,QUALIFICATIONS,EDUCATION_TYPE,SCHOOL_TYPE,EDUCATION_MAJOR,EXPERIENCE_LENGTH,AWORDS,COMMUNITY SERVICE,VOLUNTEERING,DRIVERS_LICENSE_AVAILABILITY,SKILLS_COUNT,SKILLS,Language,Category
BUSINESS DEVELOPMENT ANALYST,14287992,"['superior time management', 'financial accounting and control management', 'financial analysis and reporting', 'ms office suites and quickbooks', 'advanced computer proficiency', 'analytical and problem solving abilities', 'critical thinking with deadline driven', 'strategic and financial planning and modeling', 'proficient in sap (fico)', 'business analysis and valuation', 'budgeting', 'forecasting and planning', 'accomplishments', 'led the development of two financial reporting methods to measure productivity and efficiency of two giant oil and gas companies']",,3.0,,5,0,0,0,0,7.0,"['general financial accounting and control', 'strong analytical and attention detail', 'multi-tasking with strong deadline driven', 'advanced computer skills (microsoft office suites : word', 'excel', 'powerpoint', 'and access) and quickbooks.']",1.0,BUSINESS-DEVELOPMENT
DIRECTOR BUSINESS DEVELOPMENT,47067533,"['microsoft office suite microsoft', 'crm dynamics', 'lams', 'webex', 'linkedin']",2.0,3.0,Sales Management,6,0,0,0,0,37.0,"['b2b', 'back-up', 'business development', 'call center', 'closing', 'coach', 'cold calling', 'competitive', 'contracts', 'crm', 'client', 'clients', 'database', 'email', 'senior management', 'focus', 'hiring', 'human resource', 'inside sales', 'director', 'marketing', 'market', 'microsoft office suite', 'enterprise', 'network', 'networking', 'outside sales', 'personnel', 'policies', 'presentations', 'pricing', 'proposals', 'research', 'sales', 'scheduling', 'strategic', 'supervisory']",1.0,BUSINESS-DEVELOPMENT
BUSINESS DEVELOPMENT CENTER MANAGER,14241621,set(),1.0,2.0,Respiratory Therapy,15,0,0,0,0,2.0,"{'marketing', 'sales'}",1.0,BUSINESS-DEVELOPMENT
SR BUSINESS DEVELOPMENT DIRECTOR,27213082,set(),4.0,3.0,Argosyniversity,0,0,0,0,0,10.0,"['strong verbal communication', 'data management', 'process implementation', 'powerful negotiator', 'budgeting and finance', 'team leadership', 'self-motivated', 'project management', 'conflict resolution', 'risk management processes and analysis']",1.0,BUSINESS-DEVELOPMENT
SR BUSINESS DEVELOPMENT DIRECTOR,31813535,set(),4.0,1.0,Computer Science,0,0,0,0,0,14.0,"['risk management processes and analysis', 'team leadership', 'staff development', 'project management', 'self-motivated', 'process implementation', 'powerful negotiator', 'extremely organized', 'client assessment and', 'analysis', 'budgeting and finance', 'strong verbal communication', 'team liaison', 'conflict resolution']",1.0,BUSINESS-DEVELOPMENT
BUSINESS DEVELOPMENT ASSOCIATE,20317319,"['meeting/exceeding sales goals', 'highly driven and motivated', 'excellent communicative']",,1.0,,13,1,1,1,1,1.0,['and'],1.0,BUSINESS-DEVELOPMENT
DIRECTOR BUSINESS DEVELOPMENT,38007664,['32 years of'],,2.0,,0,0,0,0,0,2.0,"{'marketing', 'sales'}",1.0,BUSINESS-DEVELOPMENT
BUSINESS DEVELOPMENT ASSOCIATE,24412546,set(),2.0,2.0,Management avier,40,1,1,1,1,28.0,"['accounting', 'budget', 'cold calling', 'credit', 'client', 'clients', 'staff training', 'financial', 'director', 'marketing', 'market', 'marketing and management', 'materials', 'excel', 'office', 'outlook express', 'power point', 'win', 'word', 'networking', 'processes', 'promotion', 'public relations', 'relationship building', 'restaurant management', 'sales', 'sales manager', 'telemarketing']",1.0,BUSINESS-DEVELOPMENT
SENIOR BUSINESS DEVELOPMENT MANAGER,29014805,"['strategic positioning', 'contracts', 'strategic planning', 'critical thinking', 'account management', 'competitive analysis', 'new customer acquisition', 'stakeholder relations', 'professional']",2.0,2.0,Arts achelor,0,0,0,0,0,40.0,"['bi', 'business intelligence', 'progress', 'loans', 'mortgage', 'business development', 'marketing', 'operations', 'training', 'solutions', 'adc', 'business requirements', 'correspondence', 'fannie mae', 'gse', 'metrics', 'project plans', 'and marketing', 'budget', 'business process improvement', 'clients', 'coaching', 'contracts', 'drafting', 'e-learning', 'federal acquisition', 'federal government', 'fedex', 'integration', 'integrator', 'maintenance', 'marketing collateral', 'marketing department', 'marketing plan', 'mentoring', 'pricing', 'process improvement', 'proposal development', 'strategic marketing', 'user']",3.0,BUSINESS-DEVELOPMENT
BUSINESS DEVELOPMENT MANAGER,12377803,['business development'],3.0,3.0,Organizationaleadership,16,0,0,0,0,51.0,"['clients', 'satisfaction', 'accounting', 'sales', 'accounts and', 'business development', 'database', 'documentation', 'existing accounts', 'outbound calls', 'human resources', 'accounts payable', 'accounts receivable', 'billing', 'budgeting', 'cash', 'cash management', 'collections', 'credit', 'credit card', 'finance', 'forecasting', 'including accounting', 'payroll', 'accountant', 'inbound and outbound', 'sales team', 'telemarketing', 'budget', 'liaison', 'maintenance', 'audit', 'bookkeeping', 'tax returns', 'testing', 'cashiering', 'customer service', 'inventory', 'inventory control', 'loss prevention', 'merchandising', 'problem resolution', 'receptionist', 'retail sales', 'sales counter', 'stocking', 'drivers', 'managerial', 'networking', 'marketing', 'progress']",1.0,BUSINESS-DEVELOPMENT
BUSINESS DEVELOPMENT MANAGER,32385553,['excellent communication'],1.0,3.0,Appliedcience,23,0,0,0,0,43.0,"['10-key', 'accounting', 'accounting software', 'accounts payable', 'administrative', 'billing', 'bookkeeping', 'calculators', 'charts', 'clerical', 'commodities', 'email', 'fax', 'filing', 'financial statements', 'general office duties', 'government', 'insurance', 'inventory', 'letters', 'materials', 'meetings', 'merchandising', 'messaging', 'mail', 'office equipment', 'organizing', 'payroll', 'personnel', 'copy machines', 'coding', 'recording', 'retail management', 'sales', 'scheduling', 'speeches', 'spreadsheets', 'multi-line telephone', 'employee training', 'travel arrangements', 'typewriter', 'voice mail', 'word processing,']",1.0,BUSINESS-DEVELOPMENT
DIRECTOR OF BUSINESS DEVELOPMENT,13199813,set(),2.0,2.0,English,20,0,0,0,0,2.0,"['business development', 'superb']",2.0,BUSINESS-DEVELOPMENT
ASSOCIATE DIRECTOR BUSINESS DEVELOPMENT,22765255,"['business development\tcross functional leadership new product commercialization effective negotiator manufacturing processes\tchange management operations management\tbuild dynamic teams marketing strategy and innovation diversity and mentoring', 'accomplishments', 'recognized for leading teams to exceed results in fast paced', 'high growth business environments', 'granted ""values in action award"" for an outstanding leadership role', 'granted', '""values in actions award"" for leading a flawless execution', 'kraft foods', 'coffee bean brilliance award', '2015', 'kraft foods', 'president choice award', '2013']",3.0,3.0,Production Engineering,1,0,0,0,0,59.0,"['packaging', 'accountable for', 'maintenance', 'operations', 'training', 'associate', 'autocad', 'cbt', 'computer based training', 'engineer', 'fdot', 'machine safety', 'mes', 'project engineer', 'safety training', 'sap', 'vacuum', 'award', 'budget', 'fifo', 'self-directed', 'warehouse management', 'merchandising', 'business development', 'mitigation', 'sales', 'new product development', 'product development', 'transmissions', 'and sales', 'ibm svc', 'integrated marketing campaign', 'marketing', 'marketing campaign', 'promotional', 'sales support', 'svc', 'crm', 'customer relationship management', 'pricing', 'its', 'jar', 'account management', 'change management', 'exceed', 'leadership skills', 'manufacturing processes', 'marketing strategy', 'mentoring', 'new products', 'operations management', 'problem solving', 'project management', 'recruiter', 'six sigma', 'six-sigma', 'financial management', 'branding', 'continuous improvement']",2.0,BUSINESS-DEVELOPMENT
DIRECTOR OF BUSINESS DEVELOPMENT,20427934,"['word', 'excel', 'powerpoint', 'adobe', 'java', 'oracle', 'jd', 'edwards', 'enterprise', 'epitome/winal', 'data collection', 'internet', 'and social media']",2.0,3.0,May,0,0,0,0,0,46.0,"['accounting', 'adobe', 'ad', 'budgeting', 'coach', 'coaching', 'contracts', 'clientele', 'client', 'data collection', 'fluent in english', 'senior management', 'financial', 'financial analyst', 'financial reporting', 'forecasting', 'fundraising', 'instructor', 'java', 'jd', 'edwards', 'leadership', 'logistics', 'director', 'managing', 'marketing', 'excel', 'powerpoint', 'word', 'negotiations', 'enterprise', 'network', 'oracle', 'program development', 'progress', 'proposals', 'recruitment', 'researching', 'sales', 'scheduling', 'strategic', 'supervisor', 'additional information', 'hold united states permanent resident status', '(previously', 'held extraordinary ability 01 visa).']",1.0,BUSINESS-DEVELOPMENT
BUSINESS DEVELOPMENT CONSULTANT,35673335,set(),2.0,2.0,Economics,14,0,0,0,0,37.0,"['accounting', 'abc', 'advertising', 'business development', 'business intelligence software', 'closing', 'cms', 'com', 'consultant', 'content', 'content management', 'conversion', 'crm', 'client', 'direct mail', 'economics', 'features', 'forecasting', 'internet marketing', 'director', 'marketing', 'market', 'messaging', 'negotiation', 'negotiations', 'network', 'online marketing', 'producer', 'purchasing', 'retail', 'selling', 'sales', 'sales forecasting', 'san', 'telecom', 'phone', 'website']",1.0,BUSINESS-DEVELOPMENT
BUSINESS DEVELOPMENT EXECUTIVE,16846478,set(),2.0,3.0,Business Administration,26,0,0,0,0,38.0,"['advertising', 'application development', 'basic', 'billing', 'business development', 'business plans', 'cold calling', 'computer maintenance', 'hardware', 'consulting', 'clientele', 'client', 'clients', 'financial', 'information technology', 'it strategy', 'employee management', 'managing', 'marketing plans', 'marketing', 'market', 'meetings', 'exchange', 'office', 'windows', 'network', 'networking', 'page', 'performance reviews', 'personnel', 'profit', 'real-time', 'research', 'selling', 'sales', 'strategy', 'strategic marketing', 'supervisory']",1.0,BUSINESS-DEVELOPMENT
INTERNATIONAL BUSINESS DEVELOPMENT,89197180,"['professional ethics', 'negotiation']",2.0,2.0,Irvine Valley,0,0,0,0,0,8.0,"['fluent in oral & written spanish', 'reading competency in french', 'proficient in microsoft word', 'excel', 'powerpoint', 'and outlook. mas90', 'mas200', 'greatplains.']",3.0,BUSINESS-DEVELOPMENT
BUSINESS DEVELOPMENT SPECIALIST,36574147,"['management', 'customer service', 'sales', 'analytical', 'presentation', 'training', 'coaching', 'creative solutions', 'accomplishments', '-selected as a member of various corporate projects at ibc bank', 'first national bank', 'plainscapital bank', '-elected board president for a community involvement organization', '-selected as a member in edinburg leadership class xx', '-served as project chair for numerous community outreach events']",2.0,3.0,Americanntercontinental,0,0,0,0,0,8.0,"['computer', 'interpersonal', 'customer service', 'analytical', 'relationship driven', 'training', 'presentational', 'sales']",1.0,BUSINESS-DEVELOPMENT
BUSINESS DEVELOPMENT MANAGER,27004930,set(),,3.0,,0,1,1,1,1,0.0,"{'marketing', 'sales'}",1.0,BUSINESS-DEVELOPMENT
BUSINESS DEVELOPMENT SPECIALIST/AE,12230301,set(),2.0,3.0,Business Administration,0,0,0,0,0,0.0,"{'marketing', 'sales'}",1.0,BUSINESS-DEVELOPMENT
BUSINESS DEVELOPMENT DIRECTOR,59696315,['strong interpersonal'],,2.0,,0,0,0,0,0,102.0,"[':', 'relationship management and interpersonal skills', 'communication', 'influencing and negotiating skills', 'new business strategy development and implementation', 'project management if or when needed', 'presentation skills', 'research and report writing skills', 'problem solving and decision making', 'coaching & people relationship management (internal and external)', 'key attributes:', 'professional and positive approach', 'self motivated', 'strong in building relationships and able to communicate at all levels', 'team player', 'dynamic and creative', 'definition 6 (atlanta ga.) business development executive (march 2008 to july', '2009)', 'consultant and sell services to include on-line media', 'interactive marketing', 'web traffic analytics', 'seo/sem', 'websites', 'usability', 'hosting and managed services', 'intranets', 'e-mail marketing and social media.', 'acquire new clients for definition 6 to include: scientific games', 'mitsubishi electric', 'cox communications', 'and humana health care', 'among others.', 'develop ongoing improvements to the process of prospecting', 'qualifying and closing key accounts.', 'attend and develop market presence through networking/involvement with key associations', 'tag', 'wit', 'aima', 'ama among others.', 'work with client services/account managers to effectively manage accounts', 'delivering superior customer service.', 'consistently exceeded sales goals', 'demonstrating focused sales efforts', 'leadership', 'and a solid understanding of the internet advertising environment.', 'lbi atlanta (formerly creative digital group (atlanta ga.) director of client', 'development (january 2005 to', 'october 2008)', 'consultant and sell services to include', 'interactive strategy & branding', 'emerging technologies', 'rich media and sem/seo.', 'acquire new clients for lbi to include: ups', 'the home depot', 'ing financial services', 'cox', 'communications', 'georgia pacific', 'humana health care', 'among others.', 'work with client services/account managers to effectively manage accounts', 'delivering superior customer service.', 'consistently exceeded sales goals', 'demonstrating focused sales efforts', 'leadership', 'and a solid understanding of the internet advertising environment.', 'closed more than 2 million in sales within the first calendar year', 'peak year of sales totaling 3.5 million.', 'develop client relationship', 'including meeting with representatives of existing and potential clients to collaborate and communicate over arching online brand strategy', 'core capabilities and to discuss potential projects proposed by lbi atlanta or client.', 'vta/play (atlanta', 'ga.): director of sales and marketing (september 2003 \xad', 'october 2005)', 'develop marketing strategy for all rich media services', 'print design and marketing services and broadcast media services.', 'create all proposals and presentations of services and present concepts to clients (coca-cola', 'ciba', 'vision', 'home depot', 'cnn', 'zoo atlanta', 'etc).', 'work closely with clients in conjunction with editors', 'rich media specialist and designers to ensure proper direction for projects.', 'communicate with clients on daily basis for project updates', 'scheduling and feedback.', 'work with marketing specialist to hold round table meetings and conduct client interviews in an effort to better understand current market position and desired outcome.', 'vertis inc. (atlanta ga.): account executive (august 1998 \xad september 2003)', 'prospect for new clients and opportunities (selling', 'photography services', 'package design', 'print advertising', 'and direct mail).', 'service current customers while cultivating new projects.', 'work with designers to ensure deadlines are met and creative directions are followed. attended press checks to ensure all brand guidelines and standards were met.', 'communicate with client to maintain expectations on photo shoots', 'concept presentations and objectives.', ""work with client's marketing group to identify needs and create execution plan (coca-cola"", 'home depot', 'etc.)', 'additional']",1.0,BUSINESS-DEVELOPMENT
BUSINESS DEVELOPMENT REPRESENTATIVE,20633855,set(),,3.0,,5,0,0,0,0,15.0,"['customer communications', 'prospecting and cold calling', 'upselling and consultative selling', 'account management', 'delivering value proposition', 'proven sales track record', 'accomplishments', '4 time stars trip recipient (highest percentage to quota)', 'named end of quarter super star (q1 2015)', 'one of two members in the 200 club (200% to quota)', 'member of team of the month (dell)', 'dell record for most calls in a day (115)', 'voted most outstanding graduate in the department by faculty (colorado state university)', 'emerging leaders program certified', 'employee of the month (july 2017)']",1.0,BUSINESS-DEVELOPMENT
STAFFING BUSINESS DEVELOPMENT MANAGER,18311419,set(),2.0,3.0,Business Management,15,0,0,0,0,37.0,"['academic', 'behavioral health', 'budgeting', 'coaching', 'cold calling', 'contract negotiations', 'contracts', 'conversion', 'customer relationship management', 'client', 'clients', 'financials', 'forecasting', 'functional', 'hiring', 'human resource', 'inventory', 'leadership', 'managing', 'marketing plan', 'market trends', 'market', 'marketing', 'negotiations', 'enterprise', 'networking', 'progress', 'rapport', 'recruitment', 'research', 'sales', 'seminars', 'staff development', 'staffing', 'strategy', 'strategic', 'phone']",1.0,BUSINESS-DEVELOPMENT
BUSINESS DEVELOPMENT MANAGER/MARKETING,16091352,set(),,3.0,,0,0,0,0,0,20.0,"['prospecting and cold calling', 'strategic account development', 'team building expertise', 'proven sales track record', 'strong communicator', 'skilled in ms office', 'strong interpersonal skills', 'relationship selling', 'product training and placement', 'strong deal closer', 'exceptional customer service skills', 'accomplishments', 'established thirty new accounts in a single year through successful business development/management skills. a company record. (gigaspaces technologies)', '\u200b\u200b', '\u200b', 'turned a one thousand dollar a year territory into a one million dollar territory in just a little under 2 years. (buzz food service)\u200b', 'earned the 2012', '""spirit of generosity award ."" given once a year to a salesperson who demonstrated an outstanding commitment to customer service in a way that improved both company reputation and work environment. (buzz food service)', ""master of brand advantage/master's level meat course. (buzz food service)"", '2006 employee of the year,']",1.0,BUSINESS-DEVELOPMENT
VP OF BUSINESS DEVELOPMENT,27375577,set(),,3.0,,0,0,0,0,0,41.0,"['streamline', 'approach', 'balance sheet', 'bonds', 'budgeting', 'business development', 'cash flow', 'clinical research', 'clinical trials', 'com', 'consulting', 'corporate finance', 'crm', 'database', 'email', 'english', 'equities', 'fast', 'financials', 'financing', 'financial', 'fundraising', 'funds', 'graphical user interface', 'information systems', 'innovation', 'inventory', 'marketing', 'network', 'neural', 'next', 'presentations', 'speaker', 'sales', 'scientific', 'spanish', 'strategy', 'strategic', 'websites', 'additional information', 'international']",2.0,BUSINESS-DEVELOPMENT
BUSINESS DEVELOPMENT MANAGER,25813953,set(),1.0,1.0,Mesa High,1,0,0,0,0,26.0,"['advertising', 'competitive', 'content', 'contracts', 'customer satisfaction', 'customer service', 'customer support', 'fashion', 'fast', 'functional', 'marketing strategies', 'marketing', 'market', 'marketing material', 'networking', 'payroll', 'progress', 'promotion', 'quality', 'selling', 'sales', 'script', 'strategic', 'telephone', 'phone', 'training manuals']",1.0,BUSINESS-DEVELOPMENT
BUSINESS DEVELOPMENT MANAGER,76916835,"['highly effective through consistent contact and superior customer service', 'in building instant rapport and relationships with decision makers at all levels', 'superior multitasking', 'organization and time management']",2.0,3.0,Communication Disorders,35,0,0,0,0,24.0,"['benefits', 'business planning', 'closing', 'competitive intelligence', 'concise', 'contracts', 'clients', 'customer service', 'marketing', 'office', 'multitasking', 'oil', 'outside sales', 'presentations', 'product development', 'profit', 'rapport', 'sales', 'sales and development', 'sales plan', 'seminars', 'strategic', 'strategic marketing', 'time management']",1.0,BUSINESS-DEVELOPMENT
ASSISTANT TO BUSINESS DEVELOPMENT ADMINISTRATOR,17730889,"['able to meet performance and outcome goals', 'create and maintain employer and client databases and files', 'effectively identify client needs through good judgment and interview techniques', 'maintain updated case notes on each client', 'provide assistance and guidance relating to the interview process', 'conduct employer outreach as needed', 'conduct follow-up evaluations with client and employer', 'develop job opportunities and act as a liaison between client and the employer', 'maintain timely documentation and reports according to stated guidelines', 'provide referrals to community partners', 'conduct program presentations', 'detail oriented', 'flexible and reliable']",2.0,2.0,Applied Studies,0,0,0,0,0,8.0,"['adobe acrobat', 'microsoft office', 'outlook', 'client and employee management', 'excellent customer service skills', 'client relations', 'privileges & fiduciary understanding', 'budgeting and financial planning']",1.0,BUSINESS-DEVELOPMENT
BUSINESS DEVELOPMENT COORDINATOR/EVENT COORDINATOR,67501448,"['event management', 'negotiation']",1.0,1.0,Science ENTAL,15,0,0,0,0,1.0,"['responsible and reliable,highly motivated for career advancement,able to deal in a mature manner with problem solving,willing to learn and accept constructive criticism,willing to help,good attitude around others,calm and focused,good knowledge of social media,able to use own initiative and work as part of a team,excellent communication and organizational skills,versed in all aspects of marketing campaigns from concept development to execution and launch,skilled marketing professional focused on exceeding revenue goals,builder of strategic partnership,new customer acquisition expert who emphasizes a mix online and offline marketing strategies.']",4.0,BUSINESS-DEVELOPMENT
BUSINESS DEVELOPMENT EXECUTIVE,17421910,set(),3.0,2.0,Finance,12,0,0,0,0,7.0,"['ms office (word', 'excel', 'powerpoint', 'publisher', 'outlook)', 'constant contact', 'asa/400']",1.0,BUSINESS-DEVELOPMENT
BUSINESS DEVELOPMENT CONSULTANT,91467795,set(),2.0,3.0,Chemistry,7,1,1,1,1,12.0,"['business development', 'account management', 'competitive analysis', 'prospecting/cold calling', 'knowledge of drug development cycle', 'sales and marketing strategizing', 'market research and analysis', 'marketing management', 'event planning', 'c-level presentations', 'rfp/rfi/bid preparation', 'public relations']",1.0,BUSINESS-DEVELOPMENT
BUSINESS DEVELOPMENT DIRECTOR,13574264,set(),2.0,3.0,Artsegree,6,0,0,0,0,33.0,"['account management', 'ads', 'advertising', 'automotive', 'budget', 'business development', 'closing', 'competitive', 'crm', 'clients', 'customer service', 'driving', 'finance', 'financing', 'focus', 'hiring', 'inventory', 'leadership', 'managing', 'marketing strategies', 'marketing', 'mentoring', 'online marketing', 'personnel', 'positioning', 'product management', 'profit', 'sales', 'strategy', 'television', 'translating', 'vision', 'website']",1.0,BUSINESS-DEVELOPMENT
BUSINESS DEVELOPMENT EXECUTIVE,27139412,set(),,2.0,,5,0,0,0,0,8.0,"['brand development', 'analyzing market trends', 'established track record of exceptional sales results', 'account management', 'excellent negotiating tactics', 'skilled multi-tasker', 'salesforce lead management', 'strong interpersonal skills']",1.0,BUSINESS-DEVELOPMENT
BUSINESS DEVELOPMENT MANAGER,14070138,set(),2.0,2.0,Science,41,0,0,0,0,36.0,"['academic', 'articulate', 'business analysis', 'business development', 'c', 'closing', 'coach', 'coaching', 'competitive', 'counseling', 'customer satisfaction', 'driving', 'educational materials', 'educational programs', 'forecasting', 'injury prevention', 'team building', 'team leader', 'law', 'managing', 'enterprise', 'pos', 'presentations', 'pricing', 'problem resolution', 'processes', 'proposals', 'psychology', 'recruitment', 'selling', 'sales', 'sales plans', 'sales support', 'strategy', 'strategic', 'strategic planning']",1.0,BUSINESS-DEVELOPMENT
BUSINESS DEVELOPMENT ASSOCIATE,15811992,set(),3.0,2.0,Counseling Asbury,9,1,1,1,1,28.0,"['career summary - sales professional', 'i am a professional that has extensive training and experience in technical sales', 'counseling', 'administration', 'customer service', 'and leadership development.', 'my career objective is to work as part of a team of people', 'whose goals and ambition is to move a company forward to success in growth and profit.', 'i fit best in a place where creativity and vision are welcomed and technology and personal growth thrive.', 'i offer skills in the use of microsoft products', 'leadership training', 'event planning', 'and customer service and support.', 'i have what it takes to create vision', 'establish and track goals', 'and become a catalyst of influence through integrity and a positive attitude.', 'core strengths', 'technical sales professional', 'customer focused service', 'proven sales success', 'influencer', 'organizer', 'team builder', 'engaging public speaker', 'accomplishments', 'top in core sales in 2010 for accounting cs.', 'top in core sales in 2010 for accounting cs payroll.', '2011 awards:']",1.0,BUSINESS-DEVELOPMENT
BUSINESS DEVELOPMENT EXECUTIVE,14871762,set(),3.0,3.0,Information Systems,5,0,0,0,0,10.0,"['python', 'sql', 'java', 'r', 'excel', 'tableau', 'statistical analysis', 'multiple linear regression', 'certification', 'sun certified java associate']",1.0,BUSINESS-DEVELOPMENT
BUSINESS DEVELOPMENT CONSULTANT,17597372,set(),2.0,3.0,Finerts,10,0,0,0,0,17.0,"['3-d', 'budgets', 'color', 'council', 'cpt', 'client', 'floor plans', 'forklift', 'manufacturing processes', 'presentations', 'real estate', 'safety', 'sales', 'seminars', 'spreadsheet', 'technician', 'vision']",1.0,BUSINESS-DEVELOPMENT
DIRECTOR GLOBAL BUSINESS DEVELOPMENT,18937778,"['cross region international projects', 'competitive analysis', 'sales strategy', 'partner relationships', 'business process improvement', 'public presentations', 'functional spanish', 'functional japanese', 'accomplishments', 'key player in growing a business from $25 million\xa0sales to $150 million', 'maintained 50% integral gross margin on product portfolio in spite of severe competition', 'managed a cross functional team of 5 professionals and worked across 33 international sales organizations', '\u200btraveled to and conducted business in more than 30 countries', 'sold and managed projects up to $6 million value', 'developed and supported over 20 value added resellers']",2.0,3.0,International business,18,0,0,0,0,2.0,"{'marketing', 'sales'}",2.0,BUSINESS-DEVELOPMENT
BUSINESS DEVELOPMENT ASSOCIATE,14861855,set(),3.0,3.0,International Commerce,9,0,0,0,0,15.0,"['across all organizational levels.', 'skills', 'cash handling', 'financial analysis', 'capital market trends', 'industrial coverage knowledge', 'risk management expertise', 'product management', 'accounts payable/receivable', 'detail-oriented', 'process development', 'business recovery and sustainability', 'complex problem resolution', 'social media marketing', 'client acquisition']",1.0,BUSINESS-DEVELOPMENT
BUSINESS DEVELOPMENT MANAGER,36170003,"['trained in business development', 'accomplished in relationship selling', 'proven sales track record', 'recruiter training', 'sales management', 'team leadership', 'sales coaching', 'accomplishments', 'aerotek top producer in the midwest in 2007 and 2008', 'devised successful recruiting plans for multiple clients cementing their positions as cornerstone accounts', 'created strategies to develop and expand existing customer sales']",2.0,3.0,Technology and,16,0,0,0,0,3.0,"['salesforce', 'siebel', 'fox and bullhorn crm/ats experience.']",1.0,BUSINESS-DEVELOPMENT
NEW BUSINESS DEVELOPMENT MANAGER,27937592,"['new customer acquisition', 'trade shows', 'account management', 'special events planning', 'articulate public speaker', 'direct mail campaigns', 'stakeholder relations', 'accomplishments', 'south chamber ambassador of the month', 'cas certification from promotional products industry', 'certified tourism ambassador for oklahoma', 'promoted from', 'account manager', 'to', 'new business development', 'after', 'nine', 'months of employment']",,2.0,,7,0,0,0,0,27.0,"['budget', 'business strategy', 'consultation', 'customer relationship management', 'delivery', 'direct mail', 'directing', 'driving', 'email', 'senior management', 'forecasting', 'graphic design', 'graphic', 'image', 'inside sales', 'inventory', 'marketing strategy', 'marketing', 'market', 'marketing & sales', 'mentor', 'new business development', 'optimization', 'policies', 'presentations', 'sales', 'strategy']",1.0,BUSINESS-DEVELOPMENT
DIRECTOR OF BUSINESS DEVELOPMENT,16519708,set(),,3.0,,0,0,0,0,0,1.0,['skills'],1.0,BUSINESS-DEVELOPMENT
BUSINESS DEVELOPMENT MANAGER,17602815,set(),2.0,3.0,Businessdministration,1,0,0,0,0,52.0,"['accounting', 'budgets', 'business development', 'computer literate', 'concise', 'conferences', 'conflict resolution', 'contracts', 'draw', 'client', 'clients', 'customer service experience', 'customer service', 'detail oriented', 'fixed assets', 'focus', 'inspect', 'insurance', 'inventory', 'leadership', 'management skills', 'materials', 'meetings', 'microsoft office suite', 'windows', 'organizational', 'profit', 'quality', 'relationship building', 'reporting', 'safety', 'sales', 'scheduling', 'sound', 'strategist', 'valuation', 'verbal communication skills', 'wastewater treatment', 'written', 'professional affiliations', 'risk management society (rims)', 'california association of joint powers authorities (cajpa)', 'public agency risk management association (parma)', 'public risk management association (prima)', 'university risk management & insurance association (urmia)', 'association of governmental risk pools (agrip)', 'food service industry risk management association (firma) involved in numerous insurance organizations regionally and nationally including: san diego', 'orange county', 'los angeles', 'san francisco', 'nevada', 'oregon and utah chapters of rims san diego rims chapter golf committee member san diego/imperial valley + southern california parma chapters']",1.0,BUSINESS-DEVELOPMENT
BUSINESS DEVELOPMENT COORDINATOR,28337049,"['troubleshooting and problem solving', 'exceptional telephone etiquette', 'professional demeanor', 'self-starter', 'time management ability', 'ability to prioritize', 'deadline-oriented', '\u200bemployee training and development']",2.0,2.0,Business Administration,13,0,0,0,0,2.0,"{'marketing', 'sales'}",1.0,BUSINESS-DEVELOPMENT
BUSINESS DEVELOPMENT SPECIALIST/BRANCH MANAGER,33424600,"['team leadership', 'work force management', 'operations management', 'employee engagement', 'procedure development', 'training and development']",2.0,3.0,Psychology,10,0,0,0,0,2.0,"{'marketing', 'sales'}",1.0,BUSINESS-DEVELOPMENT
BUSINESS DEVELOPMENT INTERN,32042584,"['proficient using statistical analysis software (sas)', 'r', 'sas data miner', 'sql', 'relational databases', 'and microsoft office programs']",2.0,3.0,Sociology Statistics,1,0,0,0,0,34.0,"['automotive', 'c', 'com', 'credit', 'client', 'clients', 'ip', 'marketing', 'market', 'microsoft office programs', 'optimization', 'page', 'predict', 'presentations', 'profit', 'relational databases', 'research', 'research design', 'sales', 'sas', 'sound', 'sql', 'statistical analysis', 'professional writing', 'zip', 'additional information', 'honors and activities eagle scout', ""boy scouts of america president's list:"", 'fall 2011', 'fall 2012', 'spring 2013 president', 'alpha kappa delta - honor society of sociology', 'spring 2013 study abroad program to paris and romania', 'summer 2011']",1.0,BUSINESS-DEVELOPMENT
DIRECTOR BUSINESS DEVELOPMENT,14752209,set(),1.0,1.0,South Grand,16,0,0,0,0,6.0,"['microsoft suite (excel', 'word', 'power point)', 'salesforce', 'sap', 'retail link']",1.0,BUSINESS-DEVELOPMENT
BUSINESS DEVELOPMENT MANAGER,31273310,"['trained in business development', 'accomplished in relationship selling', 'friendly and cheerful', 'ms office proficiency', 'team leadership', 'proven sales track record', 'goal-oriented', 'detail-oriented', 'exceptional time management', 'analytical problem solver', 'sales management']",3.0,3.0,Integrated Marketing,8,1,1,1,1,20.0,"['account management', 'business development', 'client relations', 'cold calling', 'computer literate', 'computer proficient', 'creative problem solving', 'crm systems', 'customer needs assessment', 'customer satisfaction', 'customer service', 'expense control', 'lead development', 'marketing', 'multi-tasking management', 'reporting', 'sales', 'ms office', 'html coding', 'cna certificate']",1.0,BUSINESS-DEVELOPMENT
